Comment,Designator,Footprint,LCSC,Quantity
10k,"R1,R2,R3,R4,R5,R6",R_1206_3216Metric,C17902,6
D,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598,12
PCF8574A,U1,SOIC127P1032X265-16N,C86832,1
SW_Push_45deg,SW2,Gateron Low Profile Switch 2.0,,1
OLED_DISPLAY,J1,SSD1306-0.91-OLED-4pin-128x32,,1
SW_Push_45deg,SW4,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW9,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW8,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW1,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW6,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW3,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW5,Gateron Low Profile Switch 2.0,,1
SW_Push_45deg,SW10,Gateron Low Profile Switch 2.0,,1
RotaryEncoder_Switch,SW11,encoder,,1
SW_Push_45deg,SW7,Gateron Low Profile Switch 2.0,,1
RotaryEncoder_Switch,SW12,encoder,,1
Conn_01x04,J2,4pin,,1
SK6812,D28,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D27,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D26,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D25,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D24,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D23,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,1
SK6812,D22,SK6812MINI-E,,1
SK6812,D21,SK6812MINI-E,,1
SK6812,D20,SK6812MINI-E,,1
SK6812,D19,SK6812MINI-E,,1
SK6812,D18,SK6812MINI-E,,1
SK6812,D17,SK6812MINI-E,,1
SK6812,D16,SK6812MINI-E,,1
SK6812,D15,SK6812MINI-E,,1
SK6812,D14,SK6812MINI-E,,1
SK6812,D13,SK6812MINI-E,,1
MOUDLE-SEEEDUINO-XIAO,U2,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,,1
