Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123,132.25,-62.85,90.0,bottom
D10,D,D_SOD-123,134.6,-108.6,270.0,bottom
D11,D,D_SOD-123,168.8,-103.9,180.0,bottom
D12,D,D_SOD-123,132.2,-108.6,270.0,bottom
D2,D,D_SOD-123,151.25,-62.85,90.0,bottom
D3,D,D_SOD-123,170.25,-62.85,90.0,bottom
D4,D,D_SOD-123,173.0,-62.85,90.0,bottom
D5,D,D_SOD-123,132.25,-81.85,90.0,bottom
D6,D,D_SOD-123,151.5,-81.0,90.0,bottom
D7,D,D_SOD-123,170.5,-81.85,90.0,bottom
D8,D,D_SOD-123,173.0,-81.85,90.0,bottom
D9,D,D_SOD-123,164.0,-103.9,0.0,bottom
R1,10k,R_1206_3216Metric,141.0,-104.0,0.0,bottom
R2,10k,R_1206_3216Metric,136.0,-104.0,180.0,bottom
R3,10k,R_1206_3216Metric,127.6,-105.1605,90.0,bottom
R4,10k,R_1206_3216Metric,125.2,-105.1605,90.0,bottom
R5,10k,R_1206_3216Metric,120.0,-105.25,90.0,bottom
R6,10k,R_1206_3216Metric,117.75,-105.25,90.0,bottom
SW1,SW_Push_45deg,Gateron Low Profile Switch 2.0,123.1875,-57.445,0.0,top
SW10,SW_Push_45deg,Gateron Low Profile Switch 2.0,161.2075,-117.575,0.0,top
SW2,SW_Push_45deg,Gateron Low Profile Switch 2.0,142.2375,-57.445,0.0,top
SW3,SW_Push_45deg,Gateron Low Profile Switch 2.0,161.2875,-57.445,0.0,top
SW4,SW_Push_45deg,Gateron Low Profile Switch 2.0,180.3375,-57.445,0.0,top
SW5,SW_Push_45deg,Gateron Low Profile Switch 2.0,123.1875,-76.495,0.0,top
SW6,SW_Push_45deg,Gateron Low Profile Switch 2.0,142.2375,-76.495,0.0,top
SW7,SW_Push_45deg,Gateron Low Profile Switch 2.0,161.2875,-76.495,0.0,top
SW8,SW_Push_45deg,Gateron Low Profile Switch 2.0,180.3375,-76.495,0.0,top
SW9,SW_Push_45deg,Gateron Low Profile Switch 2.0,142.1575,-117.575,0.0,top
U1,PCF8574A,SOIC127P1032X265-16N,124.2248,-95.445,180.0,bottom
